config,RMSE,MAE,MAPE,R2,Accuracy,loss,total_time_sec,epochs,model,hidden_dim
allstations_48g,7.3781376,5.201456,10.14791,0.061609328,0.8853574,0.0063715046271681786,7258.589080572128,120,TGCN,128
fast,7.009739,4.802334,9.313893,0.03400314,0.8930489,0.006457264069467783,55.505555629730225,50,TGCN,32
full,7.9147854,5.3296924,11.01215,0.08848089,0.8760217,0.008219211362302303,496.397744178772,100,TGCN,64
recommended,6.617079,4.4776797,9.291613,0.23655689,0.89678746,3454.392822265625,438.440292596817,100,TGCN,64
standard,7.1136456,4.8745527,10.721306,0.32939506,0.8882431,5978.96142578125,1476.2598032951355,150,TGCN,64
